2019-02-06T08:31:02.983666 5227 25086
2019-02-06T08:32:01.542169 4228 20047
2019-02-06T08:33:01.908074 3843 17378
2019-02-06T08:34:01.287746 3364 15601
2019-02-06T08:35:01.660625 2861 12519
2019-02-06T08:36:02.026350 2453 10688
2019-02-06T08:37:01.395739 2158 9820
2019-02-06T08:38:01.766983 1939 8735
2019-02-06T08:39:02.136894 1765 7822
2019-02-06T08:40:01.513026 1648 7409
2019-02-06T08:41:01.916365 1620 8213
2019-02-06T08:42:01.281266 1661 9903
2019-02-06T08:43:01.645254 1612 10571
2019-02-06T08:44:02.026986 1555 10828
2019-02-06T08:45:01.400509 1494 10550
2019-02-06T08:46:01.765658 1351 7250
2019-02-06T08:47:02.156241 1295 4909
2019-02-06T08:48:01.523773 1274 4363
2019-02-06T08:49:01.886824 1258 4083
2019-02-06T08:50:01.287736 1246 3938
2019-02-06T08:51:01.654934 1241 3875
2019-02-06T08:52:02.021038 1229 3898
